date,governor,inflation,kpif,lön,prissättning,energi,målet,olj,råvaru,livsmedel,utbudsstörning,utbud,kostnad,kron,växelkurs,tillväxt,resursutnyttjande,sysselsättning,konjunktur,finansiella,bnp,skuldsättning,bolån,bostadsmarknad,räntekänslig,real,arbets,samhället,geopolitisk,handelskonflikt,handelshinder,tullar,protektionis,osäkerhet,Total
2016-05-04,Martin Flodén,27,1,0,3,1,6,0,0,0,0,0,0,1,1,4,1,1,6,1,0,0,0,0,0,4,3,0,0,0,0,0,0,2,1070
2016-05-04,Per Jansson,20,3,0,0,3,3,1,0,0,0,1,0,10,2,6,0,3,1,1,2,0,0,0,0,1,10,0,0,0,0,0,0,1,1429
2016-05-04,Kerstin af Jochnick,13,2,0,0,2,4,0,1,0,0,0,1,7,1,8,3,0,0,1,0,2,1,2,0,1,2,0,0,0,0,0,0,7,1029
2016-05-04,Cecilia Skingsley,11,0,2,0,0,3,0,0,0,0,0,0,1,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,673
2016-05-04,Stefan Ingves,41,2,0,0,2,6,1,0,2,0,0,2,14,1,4,5,0,3,0,1,2,0,1,0,3,2,0,0,0,0,0,0,3,1796
2016-05-04,Henry Ohlsson,13,0,0,0,0,6,0,0,0,0,0,0,5,2,2,3,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,665
2014-02-12,Martin Flodén,8,1,0,0,0,3,0,0,0,0,0,0,1,1,0,1,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,451
2014-02-12,Cecilia Skingsley,12,0,0,1,0,3,0,0,0,0,1,1,3,1,5,0,2,3,2,0,2,0,0,0,0,2,0,0,0,0,0,0,1,930
2014-02-12,Karolina Ekholm,30,2,1,0,0,12,0,0,0,0,0,1,5,4,0,4,0,4,1,0,3,0,0,0,4,2,0,0,0,0,0,0,0,1180
2014-02-12,Per Jansson,9,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,2,0,0,0,3,5,0,0,0,0,0,0,0,1159
2014-02-12,Stefan Ingves,6,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,1,2,2,3,1,0,0,0,1,0,0,0,0,0,0,0,1,607
2014-02-12,Kerstin af Jochnick,10,1,0,0,0,1,0,0,0,0,0,1,0,0,12,0,0,4,2,3,5,0,0,0,0,1,0,0,0,0,0,0,3,1068
2012-12-17,Lars E.O. Svensson,19,6,0,1,0,3,0,0,0,0,0,2,2,0,2,0,0,0,0,2,10,6,4,0,20,15,0,0,0,0,0,0,0,1464
