date,governor,inflation,ränta ,sysselsättning,pris ,växelkurs,skuld,belåning,Total
2024-03-26,Per Jansson,24,0,0,0,5,0,0,1394
2024-03-26,Martin Flodén,14,1,0,0,3,0,0,1145
2024-03-26,Anna Breman,22,6,0,0,2,0,1,974
2024-03-26,Aino Bunge,14,0,0,0,2,0,2,1178
2024-03-26,Erik Thedéen,33,1,0,0,1,1,0,1291
2022-09-19,Anna Breman,32,5,0,1,0,2,0,1496
2022-09-19,Henry Ohlsson,18,3,0,0,0,0,0,703
2022-09-19,Per Jansson,53,2,0,0,0,0,0,1779
2022-09-19,Martin Flodén,12,0,0,0,0,0,0,982
2022-09-19,Stefan Ingves,32,2,1,0,0,0,0,1288
2022-06-29,Anna Breman,34,1,0,0,0,1,0,1371
2022-06-29,Henry Ohlsson,3,0,0,0,0,0,0,290
2022-06-29,Martin Flodén,18,2,1,0,0,1,0,840
2022-06-29,Per Jansson,54,0,0,0,0,0,0,1779
2022-06-29,Cecilia Skingsley,12,2,0,0,0,2,0,1015
2022-06-29,Stefan Ingves,34,0,0,0,0,1,0,1527
2017-09-06,Per Jansson,35,0,0,0,4,3,0,1694
2017-09-06,Martin Flodén,25,2,0,0,0,2,0,1142
2017-09-06,Cecilia Skingsley,10,4,2,0,0,3,0,930
2017-09-06,Kerstin af Jochnick,22,0,1,0,0,2,0,885
2017-09-06,Henry Ohlsson,14,0,0,0,0,0,0,606
2017-09-06,Stefan Ingves,28,2,0,0,1,6,0,1475
2021-06-30,Per Jansson,50,1,1,0,2,0,0,1872
2021-06-30,Martin Flodén,28,0,0,0,0,0,0,1029
2021-06-30,Cecilia Skingsley,21,1,0,0,0,0,0,924
2021-06-30,Henry Ohlsson,7,0,0,0,0,0,0,1040
2021-06-30,Anna Breman,27,0,1,0,0,1,0,1084
2021-06-30,Stefan Ingves,26,0,0,0,0,4,0,1289
2019-09-04,Cecilia Skingsley,12,2,0,0,0,0,0,891
2019-09-04,Per Jansson,38,2,0,0,1,0,0,1350
2019-09-04,Martin Flodén,20,0,0,0,6,0,0,1361
2019-09-04,Kerstin af Jochnick,5,1,0,0,0,1,0,1090
2019-09-04,Henry Ohlsson,11,0,0,0,0,0,0,888
2019-09-04,Stefan Ingves,13,2,2,0,2,1,0,1389
2023-02-08,Anna Breman,33,0,0,0,0,0,0,1319
2023-02-08,Aino Bunge,15,0,2,0,2,2,0,1410
2023-02-08,Per Jansson,40,1,0,0,2,0,0,1603
2023-02-08,Martin Flodén,26,3,3,0,3,2,0,1486
2023-02-08,Henry Ohlsson,13,0,0,0,0,0,0,653
2023-02-08,Erik Thedéen,39,0,0,0,1,1,0,1805
2017-04-26,Cecilia Skingsley,5,0,0,0,0,0,0,771
2017-04-26,Per Jansson,19,1,0,0,2,0,0,1082
2017-04-26,Kerstin af Jochnick,21,0,0,0,0,1,0,972
2017-04-26,Stefan Ingves,44,3,0,0,1,2,0,2675
2020-09-21,Martin Flodén,23,0,0,0,1,1,0,1146
2020-09-21,Anna Breman,7,1,1,0,0,0,0,1278
2020-09-21,Per Jansson,45,0,0,0,1,2,0,1308
2020-09-21,Henry Ohlsson,5,0,0,0,0,0,0,963
2020-09-21,Cecilia Skingsley,12,1,0,0,0,0,0,750
2020-09-21,Stefan Ingves,6,0,0,0,0,1,0,1129
2017-10-25,Martin Flodén,18,2,0,0,2,2,0,1383
2017-10-25,Cecilia Skingsley,14,0,0,0,2,5,0,1162
2017-10-25,Per Jansson,51,0,0,0,7,0,0,1584
2017-10-25,Kerstin af Jochnick,12,0,0,0,0,2,0,1047
2017-10-25,Stefan Ingves,32,0,0,0,3,0,0,2476
2019-02-12,Martin Flodén,12,1,1,0,0,0,0,1146
2019-02-12,Cecilia Skingsley,9,0,0,0,0,0,0,768
2019-02-12,Kerstin af Jochnick,7,0,0,0,0,1,0,841
2019-02-12,Stefan Ingves,19,2,0,0,4,5,0,1749
2024-08-19,Aino Bunge,18,0,0,0,1,0,0,907
2024-08-19,Anna Breman,27,1,1,0,1,0,0,1096
